model,split,metric,point,mean,ci_lo,ci_hi,std
elasticnet,target,r2,-0.035484413704810924,-0.03550742302327043,-0.03967456845821451,-0.03159113248797704,0.002073671763876799
elasticnet,target,pearson_r,,,,,
elasticnet,target,spearman_rho,,,,,
elasticnet,target,auroc,0.5,0.5,0.5,0.5,0.0
mlp,target,rmse,1.0901649581443673,1.0900790569780094,1.0814079731926851,1.0987104637087224,0.0044399463321906345
mlp,target,mae,0.8511732672961709,0.8511189059014203,0.8439404166985373,0.8583932531353987,0.003696252785463571
mlp,target,r2,0.23370189415501574,0.23372301127298434,0.22209490760514852,0.24512448036245757,0.0059135583653270795
mlp,target,pearson_r,0.5269380016148311,0.5269778204948581,0.51833922306975,0.5354129126227126,0.004382195425071275
mlp,target,spearman_rho,0.47339857399027496,0.4734264293133099,0.4646044346852751,0.48220552196288596,0.004469929406774103
mlp,target,auroc,0.7178006211719524,0.7178025740502246,0.7120427875067564,0.7234901051822761,0.0029143999917314706
esm_fp_mlp,target,rmse,1.1767250295773355,1.1766782375949643,1.1672772080189164,1.1859285260207342,0.004759705588123069
esm_fp_mlp,target,mae,0.9237250409485007,0.9236948308272269,0.9159329635049632,0.9312862703914342,0.00391620920427646
esm_fp_mlp,target,r2,0.10718125506879106,0.10714305302034768,0.09557260445526723,0.11859599330810748,0.005899061851455741
esm_fp_mlp,target,pearson_r,0.37195324433472027,0.37195159689919965,0.36142684402385095,0.3825001898046134,0.005333930779495861
esm_fp_mlp,target,spearman_rho,0.3608956488964886,0.3608874237176966,0.35090079198004354,0.3707953431692113,0.005085158689925399
esm_fp_mlp,target,auroc,0.6514778875639838,0.6514719377716284,0.6449559623071607,0.6580942170727391,0.003361236426874588
gnn,target,rmse,1.1458278793414076,1.145772065604978,1.1374489661228542,1.1542671429543137,0.0042484301318044095
gnn,target,mae,0.9160204251508843,0.9159938719279036,0.9088019490958315,0.9234383630628761,0.0036962608332244385
gnn,target,r2,0.15345102693076484,0.1534269922008085,0.14208046744458752,0.16451581549367156,0.005705057195135362
gnn,target,pearson_r,0.441066075558109,0.4410736911320533,0.43161712360274157,0.4503361144503037,0.004796499939738438
gnn,target,spearman_rho,0.38856804004440576,0.38856883484126514,0.3789897692435534,0.39810081673843073,0.0048868018984783365
gnn,target,auroc,0.6575448705016509,0.65754733585244,0.6512662158737699,0.6638951591659259,0.0032401493347396187
fusion,target,rmse,1.137766860855575,1.1376900057253683,1.1287636585111585,1.1466578418792555,0.004600480993767773
fusion,target,mae,0.894365742917112,0.8943003029686597,0.887101691256722,0.9017628846541335,0.0037651190632624685
fusion,target,r2,0.16532024935625733,0.1653248647310632,0.1527991556882598,0.17775520458493302,0.006364586486631053
fusion,target,pearson_r,0.4646349939146766,0.46466858450090315,0.45512126187319774,0.47389656809442854,0.004764212806941152
fusion,target,spearman_rho,0.4176259300029532,0.4176454247839797,0.4081477772671843,0.42705517345394134,0.004808421123817368
fusion,target,auroc,0.6792487610791722,0.6792618020581267,0.6732022206582581,0.6854270250030738,0.003116624955932215
